repoid	name	baseurl	repomd
ol8_MySQL84_tools_community	MySQL 8.4 Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL84/tools/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL84/tools/community/x86_64/repodata/repomd.xml
ol8_java	Oracle Java SE Development Kit (JDK) ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/java/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/java/x86_64/repodata/repomd.xml
ol8_oracle_instantclient23	Oracle Database Instant Client 26ai ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/oracle/instantclient23/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/oracle/instantclient23/x86_64/repodata/repomd.xml
ol8_oracle_instantclient21	Oracle Database Instant Client 21c ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/oracle/instantclient21/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/oracle/instantclient21/x86_64/repodata/repomd.xml
ol8_oracle_instantclient	Oracle Database Instant Client 19c ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/oracle/instantclient/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/oracle/instantclient/x86_64/repodata/repomd.xml
ol8_gluster_appstream	Gluster AppStream Latest Arm ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/gluster/appstream/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/gluster/appstream/x86_64/repodata/repomd.xml
ol8_developer	Developer Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/developer/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/developer/x86_64/repodata/repomd.xml
ol8_developer_EPEL	EPEL Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/developer/EPEL/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/developer/EPEL/x86_64/repodata/repomd.xml
ol8_developer_EPEL_modular	EPEL Modular Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/developer/EPEL/modular/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/developer/EPEL/modular/x86_64/repodata/repomd.xml
ol8_developer_olcne	Oracle Cloud Native Environment (Developer) ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/developer/olcne/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/developer/olcne/x86_64/repodata/repomd.xml
ol8_oracle_software	Oracle Database Tools ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/oracle/software/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/oracle/software/x86_64/repodata/repomd.xml
ol8_developer_archive	Developer Archive ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/developer/archive/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/developer/archive/x86_64/repodata/repomd.xml
ol8_ovirt44	oVirt 4.4 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/ovirt44/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/ovirt44/x86_64/repodata/repomd.xml
ol8_ovirt44_extras	oVirt 4.4 Extra Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/ovirt44/extras/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/ovirt44/extras/x86_64/repodata/repomd.xml
ol8_olcne19	Oracle Cloud Native Environment 1.9 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/olcne19/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/olcne19/x86_64/repodata/repomd.xml
ol8_olcne18	Oracle Cloud Native Environment 1.8 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/olcne18/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/olcne18/x86_64/repodata/repomd.xml
ol8_olcne17	Oracle Cloud Native Environment 1.7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/olcne17/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/olcne17/x86_64/repodata/repomd.xml
ol8_olcne16	Oracle Cloud Native Environment 1.6 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/olcne16/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/olcne16/x86_64/repodata/repomd.xml
ol8_olcne15	Oracle Cloud Native Environment 1.5 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/olcne15/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/olcne15/x86_64/repodata/repomd.xml
ol8_olcne14	Oracle Cloud Native Environment 1.4 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/olcne14/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/olcne14/x86_64/repodata/repomd.xml
ol8_olcne13	Oracle Cloud Native Environment 1.3 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/olcne13/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/olcne13/x86_64/repodata/repomd.xml
ol8_olcne12	Oracle Cloud Native Environment 1.2 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/olcne12/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/olcne12/x86_64/repodata/repomd.xml
ol8_automation2_2	Oracle Linux Automation Manager 2.2 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/automation2.2/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/automation2.2/x86_64/repodata/repomd.xml
ol8_automation2	Oracle Linux Automation Manager 2.1 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/automation2/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/automation2/x86_64/repodata/repomd.xml
ol8_automation	Oracle Linux Automation Manager 1.0 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/automation/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/automation/x86_64/repodata/repomd.xml
ol8_spacewalk210_client	Spacewalk 2.10 Client ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/spacewalk210/client/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/spacewalk210/client/x86_64/repodata/repomd.xml
ol8_MySQL80_community	MySQL 8.0 Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL80/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL80/community/x86_64/repodata/repomd.xml
ol8_MySQL80_connectors_community	MySQL 8.0 Connectors Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL80/connectors/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL80/connectors/community/x86_64/repodata/repomd.xml
ol8_MySQL80_tools_community	MySQL 8.0 Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL80/tools/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL80/tools/community/x86_64/repodata/repomd.xml
