repoid	name	baseurl	repomd
ol7_developer_gluster310	Oracle Linux $releasever Gluster 3.10 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_gluster310/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_gluster310/x86_64/repodata/repomd.xml
ol7_developer_php72	Oracle Linux $releasever PHP 7.2 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_php72/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_php72/x86_64/repodata/repomd.xml
ol7_developer_php71	Oracle Linux $releasever PHP 7.1 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_php71/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_php71/x86_64/repodata/repomd.xml
ol7_developer_php70	Oracle Linux $releasever PHP 7.0 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_php70/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_php70/x86_64/repodata/repomd.xml
ol7_developer_nodejs4	Oracle Linux $releasever Node.js 4 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_nodejs4/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_nodejs4/x86_64/repodata/repomd.xml
ol7_developer_nodejs6	Oracle Linux $releasever Node.js 6 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_nodejs6/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_nodejs6/x86_64/repodata/repomd.xml
ol7_developer_nodejs8	Oracle Linux $releasever Node.js 8 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_nodejs8/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_nodejs8/x86_64/repodata/repomd.xml
ol7_developer_nodejs10	Oracle Linux $releasever Node.js 10 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_nodejs10/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_nodejs10/x86_64/repodata/repomd.xml
ol7_developer_golang112	Oracle Linux $releasever Go Language 1.12 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer/golang112/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer/golang112/x86_64/repodata/repomd.xml
ol7_developer_golang111	Oracle Linux $releasever Go Language 1.11 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer/golang111/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer/golang111/x86_64/repodata/repomd.xml
ol7_developer_golang110	Oracle Linux $releasever Go Language 1.10 Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer/golang110/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer/golang110/x86_64/repodata/repomd.xml
ol7_developer_UEKR5	Oracle Linux $releasever Unbreakable Enterprise Kernel Release 5  Packages for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_UEKR5/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_UEKR5/x86_64/repodata/repomd.xml
ol7_developer_kvm_utils	Oracle Linux $releasever KVM Utilities for Development and test ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer/kvm/utils/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer/kvm/utils/x86_64/repodata/repomd.xml
ol7_latest_archive	Oracle Linux $releasever Archive ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/latest/archive/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/latest/archive/x86_64/repodata/repomd.xml
ol7_optional_archive	Oracle Linux $releasever Optional ($basearch) - Archive	https://yum.oracle.com/repo/OracleLinux/OL7/optional/archive/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/optional/archive/x86_64/repodata/repomd.xml
ol7_UEKR5_archive	Latest Unbreakable Enterprise Kernel Release 5 for Oracle Linux $releasever ($basearch) -Archive	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR5/archive/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR5/archive/x86_64/repodata/repomd.xml
ol7_UEKR4_archive	Unbreakable Enterprise Kernel Release 4 for Oracle Linux $releasever ($basearch) - Archive	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR4/archive/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR4/archive/x86_64/repodata/repomd.xml
ol7_optional_developer	Developer Preview of Oracle Linux $releasever Optional ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/optional/developer/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/optional/developer/x86_64/repodata/repomd.xml
